GEOID10,GEOID_NUM,POPULATION_2010,HISPANIC_2010,WHITE_2010,BLACK_2010,NATIVE_AM_2010,ASIAN_2010,HAW_PACIS_2010,OTHER_2010,TWO_OR_MORE_2010,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_AMERIND,PCT_ASIAN,PCT_HAW_PACIS,PCT_OTHER_RACE,PCT_TWO_OR_MORE_RACES,HOUSINGUNITS_2010,OCCUPIEDUNITS_2010,VACANTUNITS_2010,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_18_AND_19,AGE_20,AGE_21,AGE_22_TO_24,AGE_25_TO_29,AGE_30_TO_34,AGE_35_TO_39,AGE_40_TO_44,AGE_45_TO_49,AGE_50_TO_54,AGE_55_TO_59,AGE_60_AND_61,AGE_62_TO_64,AGE_65_AND_66,AGE_67_TO_69,AGE_70_TO_74,AGE_75_TO_79,AGE_80_TO_84,AGE_85_PLUS,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGE_LESS_18,AGE_65_PLUS,PCT_LESS_18,PCT_65_PLUS,MED_AGE,MED_AGE_MALE,MED_AGE_FEMALE,AVG_HH_SIZE,NUM_HOUSEHOLDS,ONE_PERSON_HH,ONE_PERSON_HH_MALE,ONE_PERSON_HH_FEMALE,TWO_OR_MORE_PERSON_HH,FAMILY_HHLD,HUSB_WIFE_FAM,HUSB_WIFE_NO_CHILD,HUSB_WIFE_W_CHLDR,OTHER_FAMILY,MALE_HHLDR_NO_WIFE,MALE_HHLDR_W_CHLDR,MALE_HHLDR_NO_CHILDR,FEMALE_HHLDR_NO_HUSB,FEMALE_HHLDR_W_CHILDR,FEMALE_HHLDR_NO_CHILDR,NON_FAMILY_HH,NON_FAMILY_MALE_HHLDR,NON_FAMILY_FEMALE_HHLDR,HH_W_NONRELATIVES,HH_NO_NONRELATIVES,FAMILIES,AVG_FAM_SIZE,POP_GROUP_QRTRS,GQ_INSTITUTIONALIZED,GQ_CORRECTIONAL_FAC,GQ_JUVENILE_FAC,GQ_NURSING_FAC,GQ_OTHER_INST_FAC,GQ_NONINSTITUTIONAL,GQ_COLLEGEHOUSING,GQ_MILITARYQUARTERS,GQ_OTHER_NONINST,HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNED_W_MORTG_LOAN,OWNED_FREE_CLEAR,RENTED,VACANT_FOR_RENT,VACANT_RENTED_NOT_OCC,VACANT_FOR_SALE,VACANT_SOLD_NOT_OCC,VACANT_SEASONAL,VACANT_MIGRANT_WRKR,VACANT_OTHER,AVG_HH_SIZE_OCC_HU,AVG_HH_SIZE_OWNED,AVG_HH_SIZE_RENTED,HU_OWNED,OWNED_AGE_15_TO_24,OWNED_AGE_25_TO_34,OWNED_AGE_35_TO_44,OWNED_AGE_45_TO_54,OWNED_AGE_55_TO_59,OWNED_AGE_60_TO_64,OWNED_AGE_65_TO_74,OWNED_AGE_75_TO_84,OWNED_AGE_85_PLUS,HU_RENTED,RENTED_AGE_15_TO_24,RENTED_AGE_25_TO_34,RENTED_AGE_35_TO_44,RENTED_AGE_45_TO_54,RENTED_AGE_55_TO_59,RENTED_AGE_60_TO_64,RENTED_AGE_65_TO_74,RENTED_AGE_75_TO_84,RENTED_AGE_85_PLUS,SHAPE_Length,SHAPE_Area
8.031E+13,8.03E+13,123,17,72,14,1,16,0,0,3,13.82,58.54,11.38,0.81,13.01,0,0,2.44,131,92,39,65,58,5,3,0,0,0,0,0,6,32,15,12,13,11,5,7,5,4,3,2,0,0,0,0,8,0,38,27,24,12,14,0,0,8,5,6.5,4.07,35.5,36.5,35,1.34,92,69,38,31,23,14,6,2,4,8,3,3,0,5,2,3,9,5,4,11,81,14,2.43,0,0,0,0,0,0,0,0,0,0,131,92,39,13,1,78,39,0,0,0,0,0,0,1.34,1.21,1.36,14,0,11,2,1,0,0,0,0,0,78,4,26,17,11,7,8,5,0,0,0.004766175,1.02E-06
8.031E+13,8.03E+13,26,1,22,2,0,1,0,0,0,3.85,84.62,7.69,0,3.85,0,0,0,16,13,3,16,10,2,0,0,0,0,0,1,0,3,2,2,3,3,3,2,1,2,2,0,0,0,0,0,2,0,4,4,6,5,5,0,0,2,2,7.69,7.69,45,46,37.5,2,13,4,3,1,9,7,5,1,4,2,2,0,2,0,0,0,2,2,0,4,9,7,2.29,0,0,0,0,0,0,0,0,0,0,16,13,3,9,1,3,0,0,2,0,1,0,0,2,2.2,1.33,10,0,1,3,2,0,3,1,0,0,3,0,2,0,1,0,0,0,0,0,0.005958837,2.17E-06
8.03101E+13,8.03E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010428536,1.19E-06
8.031E+13,8.03E+13,42,3,39,0,0,0,0,0,0,7.14,92.86,0,0,0,0,0,0,19,18,1,17,25,8,0,2,2,0,1,0,0,2,6,3,4,1,2,4,1,0,0,2,0,1,3,0,8,4,3,9,5,6,3,1,3,12,6,28.57,14.29,35,33.3,41.5,2.33,18,8,0,8,10,10,9,8,1,1,0,0,0,1,0,1,0,0,0,0,18,10,3.4,0,0,0,0,0,0,0,0,0,0,19,18,1,10,5,3,0,0,1,0,0,0,0,2.33,2.47,1.67,15,0,3,3,3,2,0,1,3,0,3,0,1,1,0,0,0,0,1,0,0.005393881,1.68E-06
8.031E+13,8.03E+13,31,8,19,0,4,0,0,0,0,25.81,61.29,0,12.9,0,0,0,0,17,17,0,14,17,1,0,0,2,0,0,0,0,2,7,4,1,2,1,4,1,1,1,0,1,1,0,2,1,2,2,11,3,5,3,2,2,3,5,9.68,16.13,38.5,37,43.5,1.82,17,8,2,6,9,9,7,1,6,2,1,0,1,1,0,1,0,0,0,0,17,9,2.56,0,0,0,0,0,0,0,0,0,0,17,17,0,15,2,0,0,0,0,0,0,0,0,1.82,1.82,0,17,0,4,4,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0.004798116,1.44E-06
8.031E+13,8.03E+13,87,51,36,0,0,0,0,0,0,58.62,41.38,0,0,0,0,0,0,33,32,1,48,39,12,10,7,4,1,1,0,8,3,8,12,1,6,7,2,1,0,1,1,1,0,0,1,22,12,12,20,7,9,3,1,1,33,4,37.93,4.6,27.5,30,23.8,2.72,32,10,9,1,22,19,11,8,3,8,2,2,0,6,5,1,3,3,0,4,28,19,3.63,0,0,0,0,0,0,0,0,0,0,33,32,1,11,4,17,1,0,0,0,0,0,0,2.72,2.33,3.06,15,3,3,4,0,2,1,2,0,0,17,2,4,3,6,0,0,1,0,1,0.005500504,1.86E-06
8.031E+13,8.03E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326521,6.25E-07
8.031E+13,8.03E+13,48,0,45,0,0,2,0,0,1,0,93.75,0,0,4.17,0,0,2.08,18,15,3,25,23,11,4,2,1,0,1,0,0,1,9,13,4,1,1,0,0,0,0,0,0,0,0,0,15,3,2,22,5,1,0,0,0,18,0,37.5,0,32.5,32.8,30.5,3.2,15,0,0,0,15,13,12,10,2,1,1,0,1,0,0,0,2,2,0,2,13,13,3.38,0,0,0,0,0,0,0,0,0,0,18,15,3,15,0,0,0,0,1,2,0,0,0,3.2,3.2,0,15,0,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086577,3.08E-06
8.031E+13,8.03E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003073177,5.66E-07
8.031E+13,8.03E+13,3,2,1,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,30.5,24.5,54.5,1.5,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1.5,2,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.005964828,2.21E-06
